ministry_id,ministry_code,domain,quota_limit,portal_total_users,portal_active_users,keycloak_total_users,keycloak_active_users,common_users,only_in_portal,only_in_keycloak,quota_used_pct
2,MTCIT,mtcit.gov.om,650,459,455,531,531,453,6,78,70.6
46,sjc,sjc.gov.om,350,351,128,128,128,128,223,0,100.3
10,moe,moe.om,800,304,256,259,257,257,47,2,38.0
11,moh,moh.gov.om,700,189,123,125,124,123,66,2,27.0
7,mod,mod.gov.om,200,152,145,145,145,145,7,0,76.0
78,nsg,nsg.gov.om,150,141,113,114,113,113,28,1,94.0
14,omaninfo,omaninfo.om,250,105,28,29,29,29,76,0,42.0
83,mof,mof.gov.om,100,100,99,99,99,99,1,0,100.0
38,sme,sme.gov.om,100,87,10,11,10,10,77,1,87.0
72,utas,utas.edu.om,450,85,43,44,43,43,42,1,18.9
24,mol,mol.gov.om,100,72,72,73,72,72,0,1,72.0
40,squ,squ.edu.om,350,68,47,48,47,47,21,1,19.4
15,mcsy,mcsy.gov.om,200,68,26,29,29,27,41,2,34.0
90,fsa,fsa.gov.om,50,52,17,18,17,17,35,1,104.0
18,nraa,nraa.gov.om,52,51,51,52,52,51,0,1,102.0
65,madayn,madayn.om,100,51,20,20,20,20,31,0,51.0
44,ncsi,ncsi.gov.om,51,50,50,51,51,50,0,1,100.0
73,bur,bur.gov.om,50,48,47,47,47,47,1,0,96.0
45,ptlc,ptlc.gov.om,50,46,46,47,46,46,0,1,92.0
57,mem,mem.gov.om,50,45,20,21,20,20,25,1,90.0
61,opaz,opaz.gov.om,50,44,35,35,35,35,9,0,88.0
19,mara,mara.gov.om,450,43,19,19,19,19,24,0,9.6
97,cpa,cpa.gov.om,150,43,42,42,41,40,3,2,28.7
53,taxoman,taxoman.gov.om,50,30,26,26,26,26,4,0,60.0
62,ROP,rop.gov.om,100,30,3,6,5,4,26,2,30.0
85,oia,oia.gov.om,50,27,13,15,15,13,14,2,54.0
82,dhr,dhr.gov.om,50,22,19,21,19,19,3,2,44.0
6,goo,goo.gov.om,100,8,8,8,8,8,0,0,8.0
8,ro,ro.gov.om,200,5,3,3,3,3,2,0,2.5
79,bng,bng.gov.om,200,5,3,4,3,3,2,1,2.5
58,dhofar,dhofar.gov.om,100,4,2,2,2,2,2,0,4.0
51,sai,sai.gov.om,100,4,4,6,4,4,0,2,4.0
56,mht,mht.gov.om,150,3,3,4,3,3,0,1,2.0
12,tejarah,tejarah.gov.om,150,3,2,3,2,2,1,1,2.0
86,oaaaqa,oaaaqa.gov.om,50,2,2,4,2,2,0,2,4.0
89,gom,gom.gov.om,50,2,2,2,2,2,0,0,4.0
87,housing,housing.gov.om,100,1,0,1,0,0,1,1,1.0
69,omsb,omsb.org,50,1,0,1,0,0,1,1,2.0
59,caa,caa.gov.om,150,1,1,3,1,1,0,2,0.7
74,dg,dg.gov.om,150,1,0,2,0,0,1,2,0.7
95,economy,economy.gov.om,50,1,0,2,0,0,1,2,2.0
91,cbo,cbo.gov.om,100,1,0,1,0,0,1,1,1.0
93,moi,moi.gov.om,50,1,0,1,0,0,1,1,2.0
92,opp,opp.gov.om,100,1,0,2,0,0,1,2,1.0
16,mjla,mjla.gov.om,50,1,0,3,2,0,1,3,2.0
84,oman2040,oman2040.om,50,1,1,2,1,1,0,1,2.0
54,omanchamber,omanchamber.om,50,1,1,2,1,1,0,1,2.0
17,spf,spf.gov.om,100,1,0,0,0,0,1,0,1.0
70,mg,mg.gov.om,50,1,1,2,1,1,0,1,2.0
94,ram,ram.gov.om,50,1,0,5,3,1,0,4,2.0
81,alwusta,alwusta.gov.om,50,1,0,1,0,1,0,0,2.0
55,fm,fm.gov.om,50,1,1,1,1,1,0,0,2.0
80,bsgo,bsgo.gov.om,50,1,1,3,1,1,0,2,2.0
66,tra,tra.gov.om,50,1,0,0,0,0,1,0,2.0
52,mafwr,mafwr.gov.om,200,1,0,3,0,1,0,2,0.5
50,mosd,mosd.gov.om,250,1,1,5,3,1,0,4,0.4
71,apsr,apsr.om,50,1,0,1,0,0,1,1,2.0
22,ea,ea.gov.om,150,1,0,0,0,0,1,0,0.7
75,ssg,ssg.gov.om,50,1,1,3,1,1,0,2,2.0
99,gsc,gsc.gov.om,100,1,0,0,0,0,1,0,1.0
