ministry_id,ministry_code,domain,quota_limit,portal_total_users,portal_active_users,keycloak_total_users,keycloak_active_users,common_users,only_in_portal,only_in_keycloak,quota_used_pct
2,mtcit,mtcit.gov.om,650,539,536,536,536,536,3,0,82.9
10,moe,moe.om,1150,444,342,336,336,336,108,0,38.6
46,sjc,sjc.gov.om,350,350,158,157,157,157,193,0,100.0
11,moh,moh.gov.om,1050,191,125,125,125,125,66,0,18.2
7,mod,mod.gov.om,200,153,145,145,145,145,8,0,76.5
78,nsg,nsg.gov.om,150,141,113,113,113,113,28,0,94.0
14,omaninfo,omaninfo.om,250,105,29,29,29,29,76,0,42.0
72,utas,utas.edu.om,450,103,49,49,49,49,54,0,22.9
83,mof,mof.gov.om,101,101,100,100,100,100,1,0,100.0
38,sme,sme.gov.om,100,99,20,20,20,20,79,0,99.0
15,mcsy,mcsy.gov.om,200,81,31,31,31,31,50,0,40.5
24,mol,mol.gov.om,100,77,76,76,76,76,1,0,77.0
40,squ,squ.edu.om,350,71,48,48,48,48,23,0,20.3
97,cpa,cpa.gov.om,150,56,55,55,55,55,1,0,37.3
65,madayn,madayn.om,100,55,25,25,25,25,30,0,55.0
52,mafwr,mafwr.gov.om,450,55,55,55,55,55,0,0,12.2
18,nraa,nraa.gov.om,53,53,53,53,53,53,0,0,100.0
45,ptlc,ptlc.gov.om,52,52,52,52,52,52,0,0,100.0
90,fsa,fsa.gov.om,52,52,17,17,17,17,35,0,100.0
94,ram,ram.gov.om,51,51,13,13,13,13,38,0,100.0
59,caa,caa.gov.om,150,51,51,51,51,51,0,0,34.0
44,ncsi,ncsi.gov.om,51,51,51,51,51,51,0,0,100.0
16,mjla,mjla.gov.om,50,50,31,15,15,15,35,0,100.0
73,bur,bur.gov.om,50,48,47,47,47,47,1,0,96.0
57,mem,mem.gov.om,50,45,20,20,20,20,25,0,90.0
61,opaz,opaz.gov.om,50,44,35,35,35,35,9,0,88.0
19,mara,mara.gov.om,750,43,19,19,19,19,24,0,5.7
62,rop,rop.gov.om,100,31,5,5,5,5,26,0,31.0
53,taxoman,taxoman.gov.om,50,30,26,26,26,26,4,0,60.0
85,oia,oia.gov.om,50,29,22,21,21,21,8,0,58.0
81,alwusta,alwusta.gov.om,50,25,4,3,3,3,22,0,50.0
82,dhr,dhr.gov.om,50,23,20,20,20,20,3,0,46.0
55,fm,fm.gov.om,50,20,12,12,12,12,8,0,40.0
71,apsr,apsr.om,50,19,18,18,18,18,1,0,38.0
6,goo,goo.gov.om,100,8,8,8,8,8,0,0,8.0
86,oaaaqa,oaaaqa.gov.om,50,8,8,8,8,8,0,0,16.0
8,ro,ro.gov.om,200,6,4,4,4,4,2,0,3.0
79,bng,bng.gov.om,200,5,3,3,3,3,2,0,2.5
58,dhofar,dhofar.gov.om,400,4,2,2,2,2,2,0,1.0
51,sai,sai.gov.om,100,4,4,4,4,4,0,0,4.0
56,mht,mht.gov.om,150,3,3,3,3,3,0,0,2.0
50,mosd,mosd.gov.om,450,3,3,3,3,3,0,0,0.7
100,ithca,ithca.om,50,3,3,3,3,3,0,0,6.0
12,tejarah,tejarah.gov.om,150,3,2,2,2,2,1,0,2.0
99,gsc,gsc.gov.om,100,2,2,2,2,2,0,0,2.0
89,gom,gom.gov.om,50,2,2,2,2,2,0,0,4.0
93,moi,moi.gov.om,50,2,1,1,1,1,1,0,4.0
54,omanchamber,omanchamber.om,50,2,2,2,2,2,0,0,4.0
17,spf,spf.gov.om,100,2,0,1,0,1,1,0,2.0
22,ea,ea.gov.om,150,1,1,1,1,1,0,0,0.7
84,oman2040,oman2040.om,50,1,1,1,1,1,0,0,2.0
92,opp,opp.gov.om,100,1,0,0,0,0,1,0,1.0
69,omsb,omsb.org,50,1,0,0,0,0,1,0,2.0
91,cbo,cbo.gov.om,100,1,0,0,0,0,1,0,1.0
95,economy,economy.gov.om,50,1,0,0,0,0,1,0,2.0
74,dg,dg.gov.om,150,1,0,0,0,0,1,0,0.7
80,bsgo,bsgo.gov.om,50,1,1,1,1,1,0,0,2.0
66,tra,tra.gov.om,50,1,0,0,0,0,1,0,2.0
70,mg,mg.gov.om,50,1,1,1,1,1,0,0,2.0
87,housing,housing.gov.om,350,1,1,1,1,1,0,0,0.3
75,ssg,ssg.gov.om,50,1,1,1,1,1,0,0,2.0
