ministry_domain,direct,translation,summarization,content_generation,question_answer,other,total_queries
alwusta.gov.om,0,0,0,0,0,1,1
apsr.om,0,0,4,0,2,1,7
bng.gov.om,0,0,0,1,2,7,10
bur.gov.om,0,0,4,10,33,57,104
caa.gov.om,0,0,0,0,3,2,5
cpa.gov.om,0,0,0,2,0,3,5
dhofar.gov.om,0,0,1,0,3,4,8
dhr.gov.om,0,1,7,16,20,47,91
fm.gov.om,0,0,3,5,8,11,27
fsa.gov.om,0,31,15,21,73,605,745
goo.gov.om,0,0,0,1,4,8,13
gsc.gov.om,0,1,9,1,12,9,32
madayn.om,0,5,34,39,128,74,280
mara.gov.om,0,0,1,0,5,6,12
mcsy.gov.om,0,1,7,13,10,54,85
mem.gov.om,0,0,2,26,7,33,68
mg.gov.om,0,0,0,0,1,0,1
mht.gov.om,0,1,0,8,4,7,20
mjla.gov.om,0,0,1,0,3,3,7
mod.gov.om,0,0,0,22,22,57,101
moe.om,0,9,10,133,101,170,423
mof.gov.om,0,3,3,15,51,92,164
moh.gov.om,0,0,0,11,4,5,20
moi.gov.om,0,0,0,0,9,6,15
mol.gov.om,0,3,0,13,13,19,48
mtcit.gov.om,0,37,41,148,191,388,805
ncsi.gov.om,0,0,1,4,16,47,68
nraa.gov.om,0,8,1,8,101,59,177
nsg.gov.om,0,0,0,0,6,7,13
oaaaqa.gov.om,0,7,0,1,9,18,35
oia.gov.om,0,9,5,15,137,97,263
omanchamber.om,0,0,0,0,7,0,7
omaninfo.om,0,19,0,8,14,29,70
opaz.gov.om,0,0,0,10,11,21,42
ptlc.gov.om,0,0,0,1,10,20,31
ram.gov.om,0,0,0,2,15,8,25
ro.gov.om,0,0,1,0,15,44,60
sai.gov.om,0,2,2,2,2,15,23
sjc.gov.om,0,7,5,30,113,142,297
sme.gov.om,0,3,0,8,15,14,40
squ.edu.om,0,3,4,11,12,20,50
student.squ.edu.om,0,0,0,2,12,53,67
taxoman.gov.om,0,0,0,9,13,15,37
tejarah.gov.om,0,0,0,0,2,3,5
utas.edu.om,0,2,3,35,18,58,116
