"ministry_domain","direct","translation","summarization","content_generation","question_answer","other","total_queries"
"fsa.gov.om","0","31","15","21","73","605","745"
"mtcit.gov.om","0","28","29","117","158","352","684"
"goo.gov.om","0","7","1","1","4","331","344"
"madayn.om","0","5","32","31","123","66","257"
"moe.om","0","5","5","49","43","91","193"
"sjc.gov.om","0","3","3","18","70","96","190"
"oia.gov.om","0","2","3","7","81","67","160"
"ncsi.gov.om","0","0","1","4","41","84","130"
"nraa.gov.om","0","3","0","11","51","53","118"
"utas.edu.om","0","3","3","27","22","62","117"
"dhr.gov.om","0","1","5","15","23","70","114"
"omaninfo.om","0","18","1","11","19","54","103"
"mof.gov.om","0","2","1","8","32","57","100"
"bur.gov.om","0","0","4","10","33","43","90"
"mcsy.gov.om","0","0","6","12","14","52","84"
"mod.gov.om","0","0","0","11","16","55","82"
"student.squ.edu.om","0","0","0","2","12","53","67"
"mem.gov.om","0","0","1","22","8","36","67"
"mol.gov.om","0","0","4","15","9","36","64"
"ro.gov.om","0","0","1","0","15","44","60"
"squ.edu.om","0","3","4","11","13","21","52"
"opaz.gov.om","0","0","0","10","13","26","49"
"moh.gov.om","0","0","1","10","5","22","38"
"taxoman.gov.om","0","0","0","9","13","15","37"
"ptlc.gov.om","0","0","0","1","10","20","31"
"sai.gov.om","0","2","2","2","2","15","23"
"sme.gov.om","0","1","0","3","7","9","20"
"mht.gov.om","0","1","0","8","4","5","18"
"nsg.gov.om","0","0","0","2","2","8","12"
"mara.gov.om","0","1","1","1","2","6","11"
"bng.gov.om","0","0","0","1","2","5","8"
"moheri.gov.om","0","0","0","6","1","1","8"
"oaaaqa.gov.om","0","1","0","0","4","1","6"
"tejarah.gov.om","0","0","0","0","2","3","5"
"caa.gov.om","0","0","0","0","3","2","5"
"dhofar.gov.om","0","0","1","0","0","4","5"
"rop.gov.om","0","0","0","0","0","2","2"
"mg.gov.om","0","0","0","0","1","0","1"
