"ministry_domain","total_users"
"mtcit.gov.om","105"
"moe.om","54"
"sjc.gov.om","51"
"mcsy.gov.om","20"
"mof.gov.om","19"
"utas.edu.om","15"
"madayn.om","15"
"omaninfo.om","14"
"fsa.gov.om","13"
"oia.gov.om","13"
"nraa.gov.om","12"
"squ.edu.om","12"
"taxoman.gov.om","11"
"mol.gov.om","10"
"ncsi.gov.om","10"
"dhr.gov.om","9"
"bur.gov.om","8"
"mod.gov.om","8"
"mem.gov.om","7"
"sme.gov.om","7"
"opaz.gov.om","6"
"student.squ.edu.om","6"
"moheri.gov.om","4"
"moh.gov.om","4"
"goo.gov.om","4"
"mara.gov.om","3"
"nsg.gov.om","3"
"ptlc.gov.om","3"
"ro.gov.om","3"
"bng.gov.om","3"
"mht.gov.om","3"
"sai.gov.om","2"
"dhofar.gov.om","1"
"oaaaqa.gov.om","1"
"caa.gov.om","1"
"tejarah.gov.om","1"
"rop.gov.om","1"
